algo1 : 0 | 2400000167 is prime
algo2 : 7 | 4080000293 Processing time: 20985 milliseconds(s)
algo2 : 8 | 4320000329 is prime
algo2 : 8 | 4320000329 Processing time: 23360 milliseconds(s)
algo2 : 9 | 4560000343 is prime
algo2 : 9 | 4560000343 Processing time: 23820 milliseconds(s)
algo2 : 10 | 4800000347 is prime
algo2 : 10 | 4800000347 Processing time: 25002 milliseconds(s)
algo2 : 11 | 5040000443 is prime
algo2 : 11 | 5040000443 Processing time: 27346 milliseconds(s)
algo2 : 12 | 5280000461 is prime
algo2 : 12 | 5280000461 Processing time: 27204 milliseconds(s)
algo2 : 13 | 5520000463 is prime
algo2 : 13 | 5520000463 Processing time: 30432 milliseconds(s)
algo2 : 14 | 5760000473 is prime
algo2 : 14 | 5760000473 Processing time: 30122 milliseconds(s)
algo2 : 15 | 6000000511 is prime
algo2 : 15 | 6000000511 Processing time: 36014 milliseconds(s)
algo2 : 16 | 6240000581 is prime
algo2 : 16 | 6240000581 Processing time: 36401 milliseconds(s)
algo2 : 17 | 6480000589 is prime
algo2 : 17 | 6480000589 Processing time: 35845 milliseconds(s)
algo2 : 18 | 6720000593 is prime
algo2 : 18 | 6720000593 Processing time: 34916 milliseconds(s)
algo2 : 19 | 6960000613 is prime
algo2 : 19 | 6960000613 Processing time: 37540 milliseconds(s)
algo3 : 0 | 2400000167 is prime
algo3 : 0 | 2400000167 Processing time: 14473 milliseconds(s)
algo3 : 1 | 2640000217 is prime
algo3 : 1 | 2640000217 Processing time: 13937 milliseconds(s)
algo3 : 2 | 2880000251 is prime
algo3 : 2 | 2880000251 Processing time: 16091 milliseconds(s)
algo3 : 3 | 3120000253 is prime
algo3 : 3 | 3120000253 Processing time: 16572 milliseconds(s)
algo3 : 4 | 3360000257 is prime
algo3 : 4 | 3360000257 Processing time: 17379 milliseconds(s)
algo3 : 5 | 3600000269 is prime
algo3 : 5 | 3600000269 Processing time: 18621 milliseconds(s)
algo3 : 6 | 3840000289 is prime
algo3 : 6 | 3840000289 Processing time: 21165 milliseconds(s)
algo3 : 7 | 4080000293 is prime
algo3 : 7 | 4080000293 Processing time: 20993 milliseconds(s)
algo3 : 8 | 4320000329 is prime
algo3 : 8 | 4320000329 Processing time: 22060 milliseconds(s)
algo3 : 9 | 4560000343 is prime
algo3 : 9 | 4560000343 Processing time: 25206 milliseconds(s)
algo3 : 10 | 4800000347 is prime
algo3 : 10 | 4800000347 Processing time: 24534 milliseconds(s)
algo3 : 11 | 5040000443 is prime
algo3 : 11 | 5040000443 Processing time: 26478 milliseconds(s)
algo3 : 12 | 5280000461 is prime
algo3 : 12 | 5280000461 Processing time: 27698 milliseconds(s)
algo3 : 13 | 5520000463 is prime
algo3 : 13 | 5520000463 Processing time: 28812 milliseconds(s)
algo3 : 14 | 5760000473 is prime
algo3 : 14 | 5760000473 Processing time: 31621 milliseconds(s)
algo3 : 15 | 6000000511 is prime
algo3 : 15 | 6000000511 Processing time: 30780 milliseconds(s)
algo3 : 16 | 6240000581 is prime
algo3 : 16 | 6240000581 Processing time: 33339 milliseconds(s)
algo3 : 17 | 6480000589 is prime
algo3 : 17 | 6480000589 Processing time: 33644 milliseconds(s)
algo3 : 18 | 6720000593 is prime
algo3 : 18 | 6720000593 Processing time: 36301 milliseconds(s)
algo3 : 19 | 6960000613 is prime
algo3 : 19 | 6960000613 Processing time: 36058 milliseconds(s)
algo4 : 0 | 2400000167 is prime
algo4 : 0 | 2400000167 Processing time: 7179 milliseconds(s)
algo4 : 1 | 2640000217 is prime
algo4 : 1 | 2640000217 Processing time: 7367 milliseconds(s)
algo4 : 2 | 2880000251 is prime
algo4 : 2 | 2880000251 Processing time: 8321 milliseconds(s)
algo4 : 3 | 3120000253 is prime
algo4 : 3 | 3120000253 Processing time: 8223 milliseconds(s)
algo4 : 4 | 3360000257 is prime
algo4 : 4 | 3360000257 Processing time: 9088 milliseconds(s)
algo4 : 5 | 3600000269 is prime
algo4 : 5 | 3600000269 Processing time: 9483 milliseconds(s)
algo4 : 6 | 3840000289 is prime
algo4 : 6 | 3840000289 Processing time: 10193 milliseconds(s)
algo4 : 7 | 4080000293 is prime
algo4 : 7 | 4080000293 Processing time: 11555 milliseconds(s)
algo4 : 8 | 4320000329 is prime
algo4 : 8 | 4320000329 Processing time: 11745 milliseconds(s)
algo4 : 9 | 4560000343 is prime
algo4 : 9 | 4560000343 Processing time: 12228 milliseconds(s)
algo4 : 10 | 4800000347 is prime
algo4 : 10 | 4800000347 Processing time: 12651 milliseconds(s)
algo4 : 11 | 5040000443 is prime
algo4 : 11 | 5040000443 Processing time: 13282 milliseconds(s)
algo4 : 12 | 5280000461 is prime
algo4 : 12 | 5280000461 Processing time: 14430 milliseconds(s)
algo4 : 13 | 5520000463 is prime
algo4 : 13 | 5520000463 Processing time: 15401 milliseconds(s)
algo4 : 14 | 5760000473 is prime
algo4 : 14 | 5760000473 Processing time: 15381 milliseconds(s)
algo4 : 15 | 6000000511 is prime
algo4 : 15 | 6000000511 Processing time: 15865 milliseconds(s)
algo4 : 16 | 6240000581 is prime
algo4 : 16 | 6240000581 Processing time: 16906 milliseconds(s)
algo4 : 17 | 6480000589 is prime
algo4 : 17 | 6480000589 Processing time: 18374 milliseconds(s)
algo4 : 18 | 6720000593 is prime
algo4 : 18 | 6720000593 Processing time: 17729 milliseconds(s)
algo4 : 19 | 6960000613 is prime
algo4 : 19 | 6960000613 Processing time: 18369 milliseconds(s)
algo1 : 0 | 2400000249 is not prime
algo1 : 0 | 2400000249 Processing time: 24841 milliseconds(s)
algo1 : 1 | 2640000259 is not prime
algo1 : 1 | 2640000259 Processing time: 26776 milliseconds(s)
algo1 : 2 | 2880000289 is not prime
algo1 : 2 | 2880000289 Processing time: 29424 milliseconds(s)
algo1 : 3 | 3120000309 is not prime
algo1 : 3 | 3120000309 Processing time: 31676 milliseconds(s)
algo1 : 4 | 3360000343 is not prime
algo1 : 4 | 3360000343 Processing time: 34017 milliseconds(s)
algo1 : 5 | 3600000355 is not prime
algo1 : 5 | 3600000355 Processing time: 36354 milliseconds(s)
algo1 : 6 | 3840000381 is not prime
algo1 : 6 | 3840000381 Processing time: 39008 milliseconds(s)
algo1 : 7 | 4080000405 is not prime
algo1 : 7 | 4080000405 Processing time: 41596 milliseconds(s)
algo1 : 8 | 4320000439 is not prime
algo1 : 8 | 4320000439 Processing time: 44999 milliseconds(s)
algo1 : 9 | 4560000452 is not prime
algo1 : 9 | 4560000452 Processing time: 49668 milliseconds(s)
algo1 : 10 | 4800000463 is not prime
algo1 : 10 | 4800000463 Processing time: 53384 milliseconds(s)
algo1 : 11 | 5040000481 is not prime
algo1 : 11 | 5040000481 Processing time: 57927 milliseconds(s)
algo1 : 12 | 5280000501 is not prime
algo1 : 12 | 5280000501 Processing time: 64213 milliseconds(s)
algo1 : 13 | 5520000535 is not prime
algo1 : 13 | 5520000535 Processing time: 67927 milliseconds(s)
algo1 : 14 | 5760000565 is not prime
algo1 : 14 | 5760000565 Processing time: 73125 milliseconds(s)
algo1 : 15 | 6000000571 is not prime
algo1 : 15 | 6000000571 Processing time: 77132 milliseconds(s)
algo1 : 16 | 6240000583 is not prime
algo1 : 16 | 6240000583 Processing time: 83167 milliseconds(s)
algo1 : 17 | 6480000591 is not prime
algo1 : 17 | 6480000591 Processing time: 87250 milliseconds(s)
algo1 : 18 | 6720000595 is not prime
algo1 : 18 | 6720000595 Processing time: 92461 milliseconds(s)
algo1 : 19 | 6960000615 is not prime
algo1 : 19 | 6960000615 Processing time: 96306 milliseconds(s)
algo2 : 0 | 2400000249 is not prime
algo2 : 0 | 2400000249 Processing time: 12333 milliseconds(s)
algo2 : 1 | 2640000259 is not prime
algo2 : 1 | 2640000259 Processing time: 14259 milliseconds(s)
algo2 : 2 | 2880000289 is not prime
algo2 : 2 | 2880000289 Processing time: 15691 milliseconds(s)
algo2 : 3 | 3120000309 is not prime
algo2 : 3 | 3120000309 Processing time: 16053 milliseconds(s)
algo2 : 4 | 3360000343 is not prime
algo2 : 4 | 3360000343 Processing time: 17288 milliseconds(s)
algo2 : 5 | 3600000355 is not prime
algo2 : 5 | 3600000355 Processing time: 19226 milliseconds(s)
algo2 : 6 | 3840000381 is not prime
algo2 : 6 | 3840000381 Processing time: 20613 milliseconds(s)
algo2 : 7 | 4080000405 is not prime
algo2 : 7 | 4080000405 Processing time: 20945 milliseconds(s)
algo2 : 8 | 4320000439 is not prime
algo2 : 8 | 4320000439 Processing time: 27918 milliseconds(s)
algo2 : 9 | 4560000452 is not prime
algo2 : 9 | 4560000452 Processing time: 24563 milliseconds(s)
algo2 : 10 | 4800000463 is not prime
algo2 : 10 | 4800000463 Processing time: 24888 milliseconds(s)
algo2 : 11 | 5040000481 is not prime
algo2 : 11 | 5040000481 Processing time: 27020 milliseconds(s)
algo2 : 12 | 5280000501 is not prime
algo2 : 12 | 5280000501 Processing time: 27210 milliseconds(s)
algo2 : 13 | 5520000535 is not prime
algo2 : 13 | 5520000535 Processing time: 29253 milliseconds(s)
algo2 : 14 | 5760000565 is not prime
algo2 : 14 | 5760000565 Processing time: 30284 milliseconds(s)
algo2 : 15 | 6000000571 is not prime
algo2 : 15 | 6000000571 Processing time: 32934 milliseconds(s)
algo2 : 16 | 6240000583 is not prime
algo2 : 16 | 6240000583 Processing time: 32780 milliseconds(s)
algo2 : 17 | 6480000591 is not prime
algo2 : 17 | 6480000591 Processing time: 34218 milliseconds(s)
algo2 : 18 | 6720000595 is not prime
algo2 : 18 | 6720000595 Processing time: 35640 milliseconds(s)
algo2 : 19 | 6960000615 is not prime
algo2 : 19 | 6960000615 Processing time: 37127 milliseconds(s)
algo3 : 0 | 2400000249 is not prime
algo3 : 0 | 2400000249 Processing time: 12448 milliseconds(s)
algo3 : 1 | 2640000259 is not prime
algo3 : 1 | 2640000259 Processing time: 13517 milliseconds(s)
algo3 : 2 | 2880000289 is not prime
algo3 : 2 | 2880000289 Processing time: 14731 milliseconds(s)
algo3 : 3 | 3120000309 is not prime
algo3 : 3 | 3120000309 Processing time: 16699 milliseconds(s)
algo3 : 4 | 3360000343 is not prime
algo3 : 4 | 3360000343 Processing time: 17723 milliseconds(s)
algo3 : 5 | 3600000355 is not prime
algo3 : 5 | 3600000355 Processing time: 18436 milliseconds(s)
algo3 : 6 | 3840000381 is not prime
algo3 : 6 | 3840000381 Processing time: 19975 milliseconds(s)
algo3 : 7 | 4080000405 is not prime
algo3 : 7 | 4080000405 Processing time: 22942 milliseconds(s)
algo3 : 8 | 4320000439 is not prime
algo3 : 8 | 4320000439 Processing time: 22156 milliseconds(s)
algo3 : 9 | 4560000452 is not prime
algo3 : 9 | 4560000452 Processing time: 0 milliseconds(s)
algo3 : 10 | 4800000463 is not prime
algo3 : 10 | 4800000463 Processing time: 25092 milliseconds(s)
algo3 : 11 | 5040000481 is not prime
algo3 : 11 | 5040000481 Processing time: 27263 milliseconds(s)
algo3 : 12 | 5280000501 is not prime
algo3 : 12 | 5280000501 Processing time: 27198 milliseconds(s)
algo3 : 13 | 5520000535 is not prime
algo3 : 13 | 5520000535 Processing time: 29552 milliseconds(s)
algo3 : 14 | 5760000565 is not prime
algo3 : 14 | 5760000565 Processing time: 29489 milliseconds(s)
algo3 : 15 | 6000000571 is not prime
algo3 : 15 | 6000000571 Processing time: 31752 milliseconds(s)
algo3 : 16 | 6240000583 is not prime
algo3 : 16 | 6240000583 Processing time: 32238 milliseconds(s)
algo3 : 17 | 6480000591 is not prime
algo3 : 17 | 6480000591 Processing time: 34273 milliseconds(s)
algo3 : 18 | 6720000595 is not prime
algo3 : 18 | 6720000595 Processing time: 34576 milliseconds(s)
algo3 : 19 | 6960000615 is not prime
algo3 : 19 | 6960000615 Processing time: 37346 milliseconds(s)
algo4 : 0 | 2400000249 is not prime
algo4 : 0 | 2400000249 Processing time: 0 milliseconds(s)
algo4 : 1 | 2640000259 is not prime
algo4 : 1 | 2640000259 Processing time: 0 milliseconds(s)
algo4 : 2 | 2880000289 is not prime
algo4 : 2 | 2880000289 Processing time: 0 milliseconds(s)
algo4 : 3 | 3120000309 is not prime
algo4 : 3 | 3120000309 Processing time: 0 milliseconds(s)
algo4 : 4 | 3360000343 is not prime
algo4 : 4 | 3360000343 Processing time: 0 milliseconds(s)
algo4 : 5 | 3600000355 is not prime
algo4 : 5 | 3600000355 Processing time: 0 milliseconds(s)
algo4 : 6 | 3840000381 is not prime
algo4 : 6 | 3840000381 Processing time: 0 milliseconds(s)
algo4 : 7 | 4080000405 is not prime
algo4 : 7 | 4080000405 Processing time: 0 milliseconds(s)
algo4 : 8 | 4320000439 is not prime
algo4 : 8 | 4320000439 Processing time: 0 milliseconds(s)
algo4 : 9 | 4560000452 is not prime
algo4 : 9 | 4560000452 Processing time: 0 milliseconds(s)
algo4 : 10 | 4800000463 is not prime
algo4 : 10 | 4800000463 Processing time: 0 milliseconds(s)
algo4 : 11 | 5040000481 is not prime
algo4 : 11 | 5040000481 Processing time: 0 milliseconds(s)
algo4 : 12 | 5280000501 is not prime
algo4 : 12 | 5280000501 Processing time: 0 milliseconds(s)
algo4 : 13 | 5520000535 is not prime
algo4 : 13 | 5520000535 Processing time: 0 milliseconds(s)
algo4 : 14 | 5760000565 is not prime
algo4 : 14 | 5760000565 Processing time: 0 milliseconds(s)
algo4 : 15 | 6000000571 is not prime
algo4 : 15 | 6000000571 Processing time: 0 milliseconds(s)
algo4 : 16 | 6240000583 is not prime
algo4 : 16 | 6240000583 Processing time: 1 milliseconds(s)
algo4 : 17 | 6480000591 is not prime
algo4 : 17 | 6480000591 Processing time: 0 milliseconds(s)
algo4 : 18 | 6720000595 is not prime
algo4 : 18 | 6720000595 Processing time: 0 milliseconds(s)
algo4 : 19 | 6960000615 is not prime
algo4 : 19 | 6960000615 Processing time: 0 milliseconds(s)
